SHA15
d2a400	bbe800
a50a00	fd2400
99a600	841a00
4ad400	753800
86c800	96ce00
386e00	ccd200
028c00	a5ac00
f7ce00	a7d800
611e00	6a5800
83da00	0dcc00
488e00	1d7c00
3ddc00	2eee00
23a600	314e00
6a4200	a76e00
f85c00	001e00
cfb200	003000
051600	ca0600
d1bc00	954a00
ea0c00	5c4200
a32e00	58a200
35ca00	3c0800
a75800	3a7a00
8eb000	079800
99e600	d3be00
d6ee00	df1400
b92000	e86000
a86400	95ce00
0d0600	379000
a9d400	80c600
643e00	082e00
e6c600	5b5a00
c39000	7b7a00
48d600	035400
3c9800	2d1400
c29400	3c8400
806a00	01f600
94ac00	20dc00
2dac00	ed7600
21ee00	fe3800
7e6000	34ac00
ebce00	a8d400
28b000	2f1800
395600	c2ac00
d7ae00	dd5000
9d1c00	caa600
767e00	50b600
f5ca00	138800
77ac00	dc2c00
64ae00	1cf400
72de00	e77600
4dc800	fd1a00
698800	a07a00
fdc400	36d400
0d7e00	0d9c00
ff0e00	56b600
71bc258cd4cda46106ee9f3eafcbddd66dd984e7365bdf1a7dbf42485340af43c8564fb7ac32447eb8dec227	4dd0ee3839d8256edf08086fbcf8d004cecaac68bd86dea72a139b9fa571a3f847b908c1
fa6a00	41d800
73f400	431e00
f38a00	1cda00
612a00	d4f800
e47a00	50e800
13fa00	9b2c00
a8e600	c09000
a99e00	ebae00
589400	62d200
8c2400	80ea00
451600	ff3200
de1c48a46ecc577572e22f92e385f58dd8706eef333a1163	c3e88ac92924e1310eeeca25c7703b08306f332cfe36ac956f66c603c8048566fb550be54943dfb3b694f5f93cbc5c999f8020fd088ed37f89429e1df6f816204dfb61e398683e57f4315799f958aba20fe5f28ae4dbbd53f4cff09d
edb70bd0cf8974fb4fa495806a2b617e0d75834ba68fdf59d556535ccf2b0680a0fa1e4c	96f91e07ae073f54281ec98db56c2568a63f14644dc3a8845d33d4eb
55ed2cef2f779f71f146e8314b6e39969c22de9d4ea4744a6b47c1a5aadd43ff1bd62cfad6a871f3e8a2f52952e2f5ebecd0fda5b162a965d96160f3ab6416c4c6ff02f48f9dcdf8c41d9408c9fd42f242	acbe08cd6d1cd029d82a22ed6877ccf932021b5e96b271d0f49a514526821fd317e74168e4b929c72c4c8e6792aa33004d3a74bd180dea6c0683d681281a5f74c84739a4afadae3dcae1164077a2c87636c0773d6598aeaaba08d5c5e4c2
992e00	811000
ab1000	a77800
dcdc00	f35000
9b8600	647000
2be000	717400
6a8800	902a00
1f5e00	a2b200
58a000	fcfc00
bd8c00	1b5200
8e7c6718f25bf243ae96167942e7fc93e1d457f6	71bc258cd4cda46106ee9f3eafcbddd66dd984e7365bdf1a7dbf42485340af43c8564fb7ac32447eb8dec227
798c00	e8ce00
a22c00	9bbc00
f64a00	370c00
5a8400	6b3e00
f61400	82e400
35ca00	8c4200
b97200	ae1600
64b000	19b800
105400	8dc400
d0a400	f67a00
1c4200	6d1f2689c086701754ffd6e8df7ef85dc743cf6ce18a4e90282617eece936b5e994a5d7c0481428fdcfee2f58089d2a4a6fbff6a2c4cc7cd49eaff7bf0c35e99bd9bc1169387cfb41d00ea8d6e
c54a00	e06200
4dd000	064200
27fc00	522e00
f05600	44de00
2c5e00	f7ce00
ae6000	1a0400
87a400	febe00
9e1400	7b4600
374800	f78a00
SHA16
47af00	87cf00
1cfa00	46be00
f4d800	6e3700
43f300	b7a600
7ba900	608600
674600	4d4000
f06a00	661a00
61af00	1d2400
b92000	e86000
644a00	9cc200
34a500	2a3100
716d00	a96d00
b97d00	01c600
019800	2de000
1df400	c82600
e09300	019800
900e00	0b7500
ad6c00	ed8600
202a00	0d3500
26c300	ecc200
26ea00	9a4300
58f800	96fe00
6cb400	857500
de7ff00e33f2257c56068dbc150c6ca607c8c56e9b63d231c8c54c45070e406f05bab193af9c635a01a7cc831f0e4b5c438ae1fa36c73b1c2a774cdcaf62947ca141c90db5e07850ecfea7c8905861a073c4	c46d65db648559f7fe28dbc929746cfa5e365854e75fc007ecd78c381a1b21c37af18f0524e23943a305ccf69f533979871a
996e00	594e00
79b700	bc8300
395c00	5e9900
fd6d00	d57800
445b00	dbf000
367400	65a600
044500	eeba00
dfac00	9d9400
76a300	b7bf00
e30800	55d200
1bdc00	ca5300
48bb00	e1c800
537e00	ebaa00
688800	f92000
032800	e8da00
bf3c00	a38f00
1fee00	8fd400
c0d300	25f400
1bad00	858500
fd1200	d50100
7c6e00	5c3900
1fc100	674f00
2de000	e09300
7e0a00	6c4500
c94d00	f89400
c24800	cfce00
55ae00	447800
de7800	3a2d00
319b00	1c8c00
f74900	63b900
433a6157712a90be24cfb3a528a0f972ed73a855e6f24f70d1	a746f5119fac613ce38d8eef47da983a1332b3d695b31e6cde71ac4d65eabab6f344d1169a7563c1bd292f2cbaf43503ea5a8de9efc740ba580fe06e0ec8891146c948619a6ee453c0226ea47816ab7ff5
97a600	8c9400
d2d900	8d0b00
85ed00	965300
45a100	cf0700
9e6700	e8f700
908a00	efd600
5e2c00	46ef00
85ed00	9da900
897200	86fc00
7aee00	d83800
426f00	89e100
780c00	293900
e5b600	72ea00
08c14a5bc6a93df8d472cca5e1f6547d82	818e1cb155c35ce434e2b803408dba571462f54f1403396de78e2d984856867ee94f1f1c
0ca000	c61100
dd3e00	fad700
65e000	73fe00
8d1b00	255a00
780600	034400
d61300	3d1200
656b00	4d6700
a44000	c5f700
9f5e61f4b9b17165c6f876c47fac83ad51490a9e8ecc1e9fa3d1487ce44928fbe18d189d22ebeac5afbffa65dd4d713eec6f2863745ee732bdb14a60523755e9040009964fa499e9	4fbd0b7ebf77c711edbc5828cfc27a8b9682d4a7890f7520fe2a401d53d3f17432872e2d9e4deac5158644209450b643aa0f5be07d12490136870f
b97b00	93b800
d8cb00	f18c00
6e9900	f58c00
fb9c00	9c1600
b0bf00	409700
59a100	fdb000
23d900	b13800
